timestamp,ecg_raw
1758745384.9704263,689
1758745384.977678,684
1758745385.144759,698
1758745385.1825292,685
1758745385.2604055,660
1758745385.2703972,713
1758745385.3422463,672
1758745385.3443387,694
1758745385.3508468,692
1758745385.3529284,724
1758745385.358654,681
1758745385.363565,697
1758745385.3690383,701
1758745385.3784044,670
1758745385.3845003,698
1758745385.389711,683
1758745385.4040105,698
1758745385.4061396,714
1758745385.4278371,702
1758745385.4321194,709
1758745385.436314,676
1758745385.4402883,701
1758745385.482699,706
1758745385.506755,712
1758745385.644911,675
1758745385.7414937,665
1758745385.879053,701
1758745385.9898202,698
1758745386.0462537,721
1758745386.054833,707
1758745386.096262,699
1758745386.1865997,674
1758745386.1968565,653
1758745386.2011166,687
1758745386.2031655,704
1758745386.2082396,733
1758745386.2179103,706
1758745386.224011,675
1758745386.2297482,706
1758745386.235472,696
1758745386.2396278,701
1758745386.2495723,691
1758745386.2594573,663
1758745386.2638774,669
1758745386.2684772,669
1758745386.2728176,698
1758745386.275237,693
1758745386.282539,682
1758745386.292968,692
1758745386.301429,701
1758745386.3059597,695
1758745386.3103113,698
1758745386.312214,699
1758745386.3470001,705
1758745386.4835167,710
1758745386.60918,679
1758745386.6563954,702
1758745386.7116485,685
1758745386.7834334,689
1758745386.8923573,694
1758745386.9932818,674
1758745387.0349164,693
1758745387.1424377,670
1758745387.1541693,687
1758745387.156929,693
1758745387.1635764,705
1758745387.1726217,708
1758745387.1788273,664
1758745387.1849473,696
1758745387.1897,696
1758745387.1917906,714
1758745387.1998246,693
1758745387.204018,652
1758745387.2087748,691
1758745387.2150042,709
1758745387.2205515,709
1758745387.2227921,703
1758745387.2281468,687
1758745387.2324183,675
1758745387.2368543,659
1758745387.2422416,673
1758745387.245395,701
1758745387.2516735,713
1758745387.255542,696
1758745387.259328,707
1758745387.2631567,694
1758745387.266897,667
1758745387.2686017,700
1758745387.3206027,709
1758745387.4327996,670
1758745387.5449338,674
1758745387.6963663,667
1758745387.8253243,702
1758745387.8738115,710
1758745388.0021203,712
1758745388.0748553,690
1758745388.0958161,674
1758745388.222055,697
1758745388.227699,729
1758745388.230162,696
1758745388.237313,682
1758745388.2483473,705
1758745388.2525218,665
1758745388.2596421,732
1758745388.2693734,723
1758745388.2716968,697
1758745388.2785227,682
1758745388.2824922,658
1758745388.286564,709
1758745388.2937899,668
1758745388.2994366,676
1758745388.3020136,681
1758745388.306558,689
1758745388.311435,690
1758745388.3166468,686
1758745388.3232484,695
1758745388.3292465,697
1758745388.3323305,694
1758745388.338043,679
1758745388.3420308,680
1758745388.3863323,704
1758745388.5682592,710
1758745388.607442,711
1758745388.6967313,689
1758745388.7428448,689
1758745388.8336542,673
1758745388.9236825,654
1758745389.0483534,711
1758745389.0580218,713
1758745389.0868754,709
1758745389.134154,688
1758745389.2036397,704
1758745389.2088995,685
1758745389.2215147,676
1758745389.2238145,713
1758745389.2297235,695
1758745389.238862,717
1758745389.2434971,689
1758745389.2515874,690
1758745389.2562594,673
1758745389.2581754,698
1758745389.2664204,713
1758745389.2705083,680
1758745389.276021,696
1758745389.2799878,694
1758745389.2853675,708
1758745389.2877474,700
1758745389.2950995,679
1758745389.302928,684
1758745389.3086388,685
1758745389.3126888,695
1758745389.324759,695
1758745389.3679688,709
1758745389.448701,681
1758745389.6114237,659
1758745389.7698004,706
1758745389.8811772,718
1758745389.982976,712
1758745390.0206017,715
1758745390.1546586,687
1758745390.2402046,679
1758745390.266369,666
1758745390.363256,673
1758745390.3655713,708
1758745390.3718722,711
1758745390.3835797,713
1758745390.3876657,704
1758745390.3977363,694
1758745390.4018059,691
1758745390.4038038,708
1758745390.4094589,700
1758745390.4136643,677
1758745390.4195685,673
1758745390.4253397,670
1758745390.4292903,681
1758745390.4311244,702
1758745390.4353893,681
1758745390.4416702,698
1758745390.4504526,709
1758745390.4582095,689
1758745390.4705317,713
1758745390.475832,683
1758745390.4849122,676
1758745390.493439,707
1758745390.5049276,664
1758745390.5337589,703
1758745390.6658087,697
1758745390.714872,695
1758745390.8242836,696
1758745390.8461232,670
1758745390.8951473,721
1758745390.9875169,681
1758745391.099449,698
1758745391.1407468,712
1758745391.2055867,685
1758745391.2386634,723
1758745391.3254235,678
1758745391.3301506,703
1758745391.3397825,709
1758745391.3417346,722
1758745391.3462026,728
1758745391.3525996,671
1758745391.357294,709
1758745391.3611915,724
1758745391.365931,723
1758745391.3682103,720
1758745391.3722389,709
1758745391.3788285,709
1758745391.3895648,673
1758745391.3957517,687
1758745391.4001448,721
1758745391.4057102,684
1758745391.4131563,691
1758745391.4188266,667
1758745391.4235709,714
1758745391.4283254,697
1758745391.431594,721
1758745391.436995,694
1758745391.441489,660
1758745391.4476635,667
1758745391.4519334,663
1758745391.4583316,692
1758745391.4604256,713
1758745391.4650323,686
1758745391.4698634,676
1758745391.4753742,701
1758745391.619142,693
1758745391.800321,710
1758745391.8341286,719
1758745391.8619184,693
1758745391.903963,677
1758745392.078196,677
1758745392.1666377,702
1758745392.1956515,684
1758745392.1991785,690
1758745392.2175913,703
1758745392.25963,677
1758745392.409481,717
1758745392.4241385,672
1758745392.431153,691
1758745392.4339075,703
1758745392.4416962,706
1758745392.450265,685
1758745392.4566395,688
1758745392.4637694,704
1758745392.469581,693
1758745392.4726505,691
1758745392.478208,670
1758745392.4827611,660
1758745392.487464,718
1758745392.4934595,705
1758745392.4959073,715
1758745392.5025072,723
1758745392.5105119,695
1758745392.5146377,703
1758745392.522027,670
1758745392.526131,718
1758745392.5278852,703
1758745392.534618,693
1758745392.5384429,697
1758745392.5450165,675
1758745392.5491307,715
1758745392.5538254,696
1758745392.5558589,720
1758745392.5599296,722
1758745392.5668306,682
1758745392.5707252,683
1758745392.5775928,685
1758745392.5819473,710
1758745392.584004,735
1758745392.5882444,685
1758745392.5954607,701
1758745392.6003003,675
1758745392.6070862,709
1758745392.612205,704
1758745392.614103,729
1758745392.6218646,678
1758745392.6298387,671
1758745392.636871,686
1758745392.6449158,708
1758745392.649999,719
1758745392.6532257,717
1758745392.6575913,706
1758745392.6632082,672
1758745392.6678824,682
1758745392.6738648,684
1758745392.67949,687
1758745392.681445,696
1758745392.6887274,707
1758745392.692919,708
1758745392.698195,678
1758745392.7025862,697
1758745392.706328,700
1758745392.712336,697
1758745392.716536,681
1758745392.7212398,676
1758745392.7254632,710
1758745392.7329078,704
1758745392.735088,711
1758745392.7415845,686
1758745392.7460558,692
1758745392.7514105,724
1758745392.7577739,673
1758745392.7631373,703
1758745392.7652955,706
1758745392.772168,700
1758745392.7789261,705
1758745392.784522,654
1758745392.7896378,723
1758745392.7972643,688
1758745392.7991345,717
1758745392.8036118,700
1758745392.809348,679
1758745392.8137746,688
1758745392.8198185,674
1758745392.8486416,691
1758745392.9540787,724
1758745393.0661557,712
1758745393.1016352,696
1758745393.1364598,723
1758745393.2543693,684
1758745393.2601745,734
1758745393.2638571,728
1758745393.269192,710
1758745393.2738981,689
1758745393.2801487,700
1758745393.2849739,717
1758745393.2901914,716
1758745393.2923803,726
1758745393.29748,708
1758745393.3025022,680
1758745393.307921,716
1758745393.3125017,720
1758745393.31842,718
1758745393.3207898,725
1758745393.3255968,708
1758745393.3307538,707
1758745393.33653,691
1758745393.3450909,688
1758745393.3477657,732
1758745393.3522787,697
1758745393.3561583,668
1758745393.36018,675
1758745393.3639836,713
1758745393.3678172,698
1758745393.370635,725
1758745393.375336,710
1758745393.3793943,685
1758745393.3831444,699
1758745393.3869925,688
1758745393.391412,707
1758745393.3935034,732
1758745393.3979182,702
1758745393.4018185,718
